County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Suffolk,Dobler Farm Stand-Dix Hills,1145 Carlls Straight Path  Dix Hills,1145 Carlls Straight Path,Dix Hills,NY,11746,Erika Dobler,5169651568,http://www.doblerfarms.com,Daily  10am-5pm,July 1-October 20,M,Y,N,N,Y,40.79075,-73.32035,"(40.79075, -73.32035)"
Suffolk,Andrews Family Farm Farm Stand,1038 Sound Ave Calverton,1038 Sound Ave,Calverton,NY,11933,Robert Andrews,6319295963,,Daily 9am-6pm,April 25-November 25,P/M,Y,N,N,Y,40.94993,-72.80243,"(40.94993, -72.80243)"
Clinton,Northern Orchard Farm Stand,470 Union Road Peru,470 Union Road,Peru,NY,12972,Jenna Mulbury,5186439718,http://www.northernorchard.com,"Daily  10am-5pm, Closed Tuesday",May 10-December 23,P/M/X,Y,Y,N,Y,44.5569,-73.53324,"(44.5569, -73.53324)"
Suffolk,Bethel Hobbs Community Farm Stand,178 Oxhead Rd.  Centereach,178 Oxhead Road,Centereach,NY,11720,Ann Pellegrino,6317741556,http://www.hobbsfarm.info,Saturday  10am-2pm,May 30-October 10,P/M,Y,N,N,Y,40.872,-73.09635,"(40.872, -73.09635)"
Delaware,Catskill Cattle Farm Stand,"96 Laurel Bank Ave, Deposit",96 Laurel Bank Ave,Deposit,NY,13754,Lonny Schaefer,6074675762,http://www.catskillcattle.com,"Mon-Sat  9am-6pm, Sunday 12pm-4pm, Winter:  hours change",Year-round,YR,Y,N,N,Y,42.06673,-75.40725,"(42.06673, -75.40725)"
Rensselaer,Veggie Mobile Sprout-Church of the Redeemer,1249 3rd Street Rensselaer,1249 3rd Street,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 3pm-3:45pm,Year-round,YR,Y,Y,Y,Y,42.65038,-73.73443,"(42.65038, -73.73443)"
Westchester,Hastings WINTER Farmers' Market,"134 Southside Ave, Hastings-On-Hudson , Hastings Train Station parking lot",134 Southside Ave,Hastings on Huds,NY,10706,Pascale Le Draoulec,9148063380,http://www.hastingsfarmersmarket.org,Saturday 830am-130pm,Dec 7-May 23,X/W/P,N,Y,N,Y,40.9943,-73.88424,"(40.9943, -73.88424)"
Niagara,Niagara Falls City Wednesday Market,19th St. & Pine Ave.,1800-1808 Pine Ave,Niagara Falls,NY,14301,Victor Muto,7167540798,http://www.local-farmers-markets.com/market/3569/niagara-falls/niagara-falls-city-market,Wednesday  9am-3pm,Year-round,YR,Y,N,N,Y,43.09513,-79.03972,"(43.09513, -79.03972)"
Franklin,JCEO MM-Owls Head,Old Catholic Church 	197 Rte 27 Owls Head,197 ounty Route27,Owls Head,NY,12969,Richard LaVigne,5183194028,http://www.jceo.org,Wed  12:30pm-2:00pm,June 10-October 14,M,Y,Y,N,Y,44.69206,-74.11341,"(44.69206, -74.11341)"
Monroe,Curbside Market-Ellison Park Apts,44 Bobrich Drive Rochester,4 Bobrich Drive,Rochester,NY,14610,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Thu 4:15pm-5:15pm,July 9-December 17,M/X,Y,Y,N,Y,43.14804,-77.54569,"(43.14804, -77.54569)"
Bronx,Fordham Plaza Greenmarket,"1 Fordham Plaza , Park Ave btwn 189th St. & Fordham Rd.",1 Fordham Plaza,Bronx,NY,10458,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-4pm,July 10-November 20,M,Y,Y,N,Y,40.86002,-73.89106,"(40.86002, -73.89106)"
Orange,Healthy Orange Farmers' Market,"130 Broadway (lawn next to DMV bldg), btwn Johnston & Landers St. Newburgh",131 Broadway,Newburgh,NY,12550,Meg Oakes,8453606691,http://www.healthyorange.com/,Tuesday  10am-2pm,July 7-October 13,M,Y,Y,N,Y,41.50009,-74.01254,"(41.50009, -74.01254)"
Orleans,Panek's Pickin' Patch,13420 W County House Rd  Albion,13420 W County House Rd.,Albion,NY,14411,Guinevere Panek,5855896155,http://www.panekspickinpatch.com,Daily  9am-5pm,June 1-October 31,M,Y,N,N,Y,43.21866,-78.2551,"(43.21866, -78.2551)"
Monroe,Brightly's Farm Market,525 Drake Rd.  Hamlin,525 Drake Rd.,Hamlin,NY,14464,Betsy Brightly,5856364337,http://www.brightlyfarms.com,"Daily 9am-5pm, delivery options",Year-round,YR,Y,N,N,Y,43.29471,-77.94344,"(43.29471, -77.94344)"
Washington,Cambridge Valley Farmers' Market,"4 Broad Street, Green Space across from the Co-op",4 Broad Street,Cambridge,NY,12816,Lindsay Fisk,5185389467,http://www.cambridgevalleyfarmersmarket.com,Sunday  10am-2pm,May 24-October 25,P/M,Y,N,N,Y,43.02833,-73.38093,"(43.02833, -73.38093)"
New York,Grass Roots Farmers' Market,"Jackie Robinson Park W 145th St., btwn Edgecomb & Bradhurst Aves.",West 145th St and Edgecombe Ave,New York,NY,10030,Gabrielle Girigorie,2122522113,,Sat/Tue  9am-4pm,July 7-November 28,M,Y,Y,N,Y,40.82365,-73.94385,"(40.82365, -73.94385)"
Suffolk,Babylon Village Farmers' Market,"LIRR Babylon Station parking lot, 51 South Railorad Ave @ N. Carll Ave",51 Railroad Avenue,Babylon,NY,11702,Lona Graepel,6319442661,http://www.longislandfarmersmarkets.com,Sunday  8am-12:30pm,June 7-November 22,M,Y,N,N,Y,40.69992,-73.3245,"(40.69992, -73.3245)"
Chenango,Enough...and a Little Bit More Farm Stand,4776 State Highway 41 Greene,4776 State Highway 41,Greene,NY,13778,Jim Girton,6076567242,http://www.enoughandalittlebitmore.com,"Mon-Fri  11am-6pm, Sat/Sun  3pm-7pm",May 1-October 31,P/M,Y,N,N,Y,42.37041,-75.78369,"(42.37041, -75.78369)"
Clinton,Pray's Family Farm Stand-Keesville,391 Route 9N  Keeseville,391 Route 9N,Keeseville,NY,12944,Darcy Pray,5188347437,http://www.praysmarket.com,Daily 9am-6pm,May 1-Occtober 31,P/M,Y,N,N,Y,44.49367,-73.50798,"(44.49367, -73.50798)"
Otsego,Richfield Springs Area Sat Farmers' Market,"Spring Park Main St. (Rt. 20), across from Post Office",Main St and Church St,Richfield Springs,NY,13439,Ronald Bayzon,3158582703,,Saturday  8am-1pm,June 20-October 31,M,Y,N,N,Y,42.85359,-74.98476,"(42.85359, -74.98476)"
Monroe,Curbside Market-Phillips Village,100 Krieger Rd. Webster,100 Krieger Rd.,Webster,NY,14580,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Sat 11am-12:15pm,July 11-December 19,M/X,Y,Y,N,Y,43.20943,-77.4189,"(43.20943, -77.4189)"
Steuben,Dave's Produce Farm Stand,6719 State Route 415 S Bath,6719 State Route 415 South,Bath,NY,14810,David Hyer,6077947043,,"Sunday 10am-5pm, Mon-Sat 9am-6pm, Nov-Dec: 10am-5pm",April 19-December 24,P/M/X,Y,N,N,Y,42.32583,-77.29073,"(42.32583, -77.29073)"
New York,Tribeca Greenmarket Wednesday,315 Greenwich St. at Chambers St,Greenwich St and Chambers St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Wednesday  8am-3pm,Year-Round,YR,Y,Y,N,Y,40.71629,-74.01095,"(40.71629, -74.01095)"
Chenango,Oxford WINTER Farmers' Market,"St. Paul's Parish House Comm Ctr, 34 Main St. Oxford",34 Main St.,Oxford,NY,13830,Mina Takahashi,6072266843,https://www.facebook.com/OxfordNYFarmersMarket,1st Saturday  10am-1pm,November-April,M/X/W/P,N,N,N,Y,42.440234,-75.594121,"(42.440234, -75.594121)"
Franklin,JCEO MM-Elm St. Housing,215 Elm St Malone,215 Elm St,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Thursday 11:30am-12:45pm,June 11-October 15,M,Y,Y,N,Y,44.85535,-74.28165,"(44.85535, -74.28165)"
Erie,MAP Mobile Market-Jericho Rd Broadway,"Jericho Road Community Health Center  , 1021 Broadway Buffalo",1021 Broadway,Buffalo,NY,14212,Danielle Rovillo,7168825327,http://www.mass-ave.org,Friday 2pm-4pm,August 1-December 31,M/X,Y,Y,N,Y,42.89347,-78.83678,"(42.89347, -78.83678)"
Schenectady,Veggie Mobile-Father Leo Obrien,3151 Marra Lane Schenectady,3151 Marra Lane,Schenectady,NY,12303,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon 1pm-1:45pm,Year-round,YR,Y,Y,Y,Y,42.76062,-73.94004,"(42.76062, -73.94004)"
Erie,Elmwood Village Farmers' Market,Bidwell Parkway corner of Elmwood Ave.,Elmwood Ave and Bidwell Pkwy,Buffalo,NY,14222,Ashley Smith,7168810707,http://www.elmwoodmarket.org,Saturday  8am-1pm,May 9-November 28,P/M,Y,Y,N,Y,42.92371,-78.87702,"(42.92371, -78.87702)"
Broome,Vestal Farmers' Market,"Library parking lot, near museum, 320 Vestal Pkwy East (Rt. 434)",320 Vestal Pkwy East,Vestal,NY,13850,MaKenzie Darrow,6072065742,http://www.facebook.com/VestalFarmersMarket,Sat/Wed  9am-1pm,May 23-November 25,P/M,Y,N,N,Y,42.087322,-76.045678,"(42.087322, -76.045678)"
Warren,Glens Falls WINTER Farmers' Market,Sanford Street School 10 Sanford St.,10 Sanford Street,Glens Falls,NY,12801,Richard Sandora,5187920438,http://www.glensfallsfarmersmarket.com,Saturday  9am-12pm,"November 1-April 25,2020",M/X/W/P,N,Y,N,Y,43.3173,-73.65347,"(43.3173, -73.65347)"
Putnam,R & G Produce Farm Stand,997 NY Route 22 Brewster,997 NY Route 22,Brewster,NY,10509,Mike Miller,8459817200,,Saturday 8am-3pm,June 7-November 28,M,Y,N,N,Y,41.39785,-73.60218,"(41.39785, -73.60218)"
Columbia,City of Hudson WINTER Farmers' Market,"601 Union St. Hudson, sidewalk",601 Union St.,Hudson,NY,12534,Marilyn Cederoth,5189650552,http://www.hudsonfarmersmarketny.com,Saturday  10am-1pm,"Dec; February-April 25, 2020",X/W/P,N,N,N,Y,42.24738,-73.78535,"(42.24738, -73.78535)"
Tompkins,Freeville Farmers Market,43 Main St Freeville,43 Main St.,Freeville,NY,13068,Genevieve DeClerck,6072295196,http://freevillefarmersmarket.org,Sunday 12pm-3pm,May 3-Sepember 20,P/M,Y,N,N,Y,42.51179,-76.35084,"(42.51179, -76.35084)"
New York,Columbia Sun Greenmarket,2910 Broadway btwn W 114th &  W 115th Sts.,Broadway and West 115th St,New York,NY,10027,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sunday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.8073,-73.9643,"(40.8073, -73.9643)"
Broome,Russell Farms Farm Stand,2909 Old Vestal Rd Vestal,2909 Old Vestal Rd,Vestal,NY,13850,Allison Russell,6079725793,http://www.russell-farm.com,Daily 8am-6pm,September 1-Nov 30,M,Y,N,N,Y,42.1009,-76.0078,"(42.1009, -76.0078)"
Madison,Kubeckas Farm Stand,691 Chestnut Rdige Rd. Kirkville,691 Chestnut Ridge Rd,Kirkville,NY,13082,Karissa Atwood,3156322739,,Mon-Sat 10am-5pm,June 13-October 31,M,Y,N,N,Y,43.11239,-75.94782,"(43.11239, -75.94782)"
Erie,Taste NY at WNY Welcome Center Farmers Market,1999 Alvin Rd Grand Island,1999 Alvin Rd,Grand Island,NY,,Renee Day,7169843040,,Thursday 4pm-7pm,June 25-September 3,M,N,N,N,Y,43.01578,-78.97151,"(43.01578, -78.97151)"
Tioga,Candor Farmers Market,Town Hall 101 Owego Rd.,101 Owego Rd,Candor,NY,13743,Joellen Riggs,6077684072,http://www.candorfarmersmarket.org/,Thu 3:30pm-6:30pm,June 25-September 3,M,Y,Y,N,Y,42.23249,-76.33317,"(42.23249, -76.33317)"
Albany,Lansing Farm Market,204 LishaKill Rd Niskayuna,204 LishaKill,Niskayuna,NY,12309,Al Or Jessica Lansing,5184640889,http://www.lansingfarmmarket.com,Daily 9am-5pm,May 1-November 20,P/M,Y,N,N,Y,42.7629,-73.85447,"(42.7629, -73.85447)"
Bronx,Project EATS St. Barnabas,4522 Third Ave. Bronx,4522 Third Ave.,Bronx,NY,10457,Shevan Durant,2126121528,http://www.projecteats.org,Wednesday 10am-7pm,August 8-November 11,M,Y,Y,N,Y,40.85495,-73.89033,"(40.85495, -73.89033)"
Nassau,Valley Stream Farmers' Market,"Arthur J Hendrickson Park Pool, 123 W Merrick Rd Valley Stream",123 W Merrick Rd,Valley Stream,NY,11580,Ethel Terry,6313233653,http://longislandgrowersmarket.com,Thursday 7am-1pm,July 9-November 19,M,Y,N,N,Y,40.66599,-73.70221,"(40.66599, -73.70221)"
Monroe,Curbside Market-Creek House Commons,3000 White Swan Dr. Rochester,3000 White Swan Dr,Rochester,NY,14626,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Sat 3:45pm-5pm,July 11-December 19,M,Y,Y,N,Y,43.21894,-77.73798,"(43.21894, -77.73798)"
Madison,Mosher Farms Farm Stand,3214 Fargo Rd Bouckville,3214 Fargo Rd,Bouckville,NY,13310,Terry Mosher,3158937173,http://www.mosherfarms.com,"Mon-Sat 9am-6pm, Sunday 10am-6pm",June 10-October 31,M,Y,N,N,Y,42.87972,-75.57175,"(42.87972, -75.57175)"
New York,Harvest Home Metropolitan Farmers' Market,2nd Ave.between East 99th St. & E97th St,2nd Ave. at East 99th St.,New York,NY,10029,Maritza Owens,2128283361,http://www.harvesthomefm.org,Friday  8am-4pm,June 17-November 20,M,Y,Y,N,Y,40.78553,-73.94615,"(40.78553, -73.94615)"
Erie,Broadway Farmers' Market,999 Broadway Buffalo parking entrances on Gibson or Lombard St.,999 Broadway,Buffalo,NY,14212,Kathleen Peterson,7168930705,http://broadwaymarket.org/,Mon-Sat  8am-5pm,year-round,YR,N,Y,N,Y,42.893162,-78.837667,"(42.893162, -78.837667)"
Albany,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St. Albany,20 Rensselaer Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,YR,Y,Y,Y,Y,42.64093,-73.75363,"(42.64093, -73.75363)"
Erie,Farm This Way Farm Stand,11086 Brant Reservation Rd. Brant,11086 Brant Reservation Road,Brant,NY,14027,Carolyn Rosier,7165491038,,Daily 9am-5pm,May 1-October 31,P/M,Y,N,N,Y,42.58029,-79.01732,"(42.58029, -79.01732)"
Westchester,Hilltop Hanover Farm Farm Stand,1271 Hanover St Yorktown Heights,1271 Hanover St,Yorktown heights,NY,10598,Sophie Vranian,9149622368,http://www.hilltophanoverfarm.org,"Friday  1pm-6pm, Sat  10am-4pm",April 24-November 24,P/M,Y,N,N,Y,41.25159,-73.7724,"(41.25159, -73.7724)"
Suffolk,Patchogue (Sun) Farmers' Market,"Division & Ocean St., Patchogue LIRR, East Side Parking Lot",210 S. Ocean Ave.,Patchogue,NY,11772,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Sunday  9am-2pm,June 6-November 14,M,Y,N,N,Y,40.76165,-73.01337,"(40.76165, -73.01337)"
Cortland,Cortland Saturday Farmers' Market,Main St. btwn Court & Orchard Sts.,Main St and Orchard St,Cortland,NY,13045,Laura Morak,6077588332,,Saturday  8am-2pm,May 16-October 31,M,Y,Y,N,Y,42.60028,-76.18044,"(42.60028, -76.18044)"
Otsego,Morris Farmers' Market,"Guy Rathbon Park 117 Main St., behind Firehouse",Main St and Church St,Morris,NY,13808,Paul Tourtellotte,6072635423,,Thursday  3pm-5:30pm,May 28-October 15,P/M,Y,N,N,Y,42.54813,-75.24686,"(42.54813, -75.24686)"
Rensselaer,Capital Roots Produce Market,594 River Street Troy,594 River Street,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon-Fri  9am-4:30pm,Year-round,YR,Y,Y,Y,Y,42.74208,-73.68525,"(42.74208, -73.68525)"
Cortland,Cortland Tues Farmers Market,Main St. btwn Court & Orchard Sts.,Main St and Orchard St,Cortland,NY,13045,Laura Morak,6077588332,,Tuesday 8am-2pm,May 19-October 27,M,Y,Y,N,Y,42.60028,-76.18044,"(42.60028, -76.18044)"
Jefferson,Watertown Farm & Craft Market,"317 Washington Street , State Office Building Plaza",317 Washington Street,Watertown,NY,13601,Kylie Peck,3157884400,http://www.watertownny.com,Wed 7am-3pm,May 27-October 7,P/M,Y,Y,N,Y,43.97173,-75.91116,"(43.97173, -75.91116)"
Orange,Newburgh Farmers Market,95-107 Broadway,95-107 Broadway,Newburgh,NY,12550,Sember Weinman,8452314424,http://www.facebook.com/newburghnyfarmersmarket,Saturday 10am-2pm,July 18-October 31,M,Y,Y,N,Y,41.49992,-74.0112,"(41.49992, -74.0112)"
Erie,Clinton Bailey Thurs Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Thurday  4am-6pm,May 1-October 31,P/M,Y,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Saratoga,Gansevoort Farmers' Market,Gansevoort Village Park Catherine St.,Main St. at Catherine St.,Gansevoort,NY,12831,Linda Gifford,5187920198,,Tuesday  3pm-6pm,June 16-October 27,M,Y,N,N,Y,43.19612,-73.65167,"(43.19612, -73.65167)"
Queens,NYC Health+Hospitals Farmers' Market-Queens 1,82-68 164th St. Jamaica Side of Pavillion,82-68 164th St,Jamaica,NY,11432,Sandra Springer,7188832134,http://www.nychealthandhospitals.org,Thursday  8am-4pm,July 30-November 30,M,Y,N,N,Y,40.71753,-73.80373,"(40.71753, -73.80373)"
New York,175th Street Greenmarket,651 W 175th St. btwn Wadsworth & Broadway,651 West 175th St and Broadway,New York,NY,10038,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thursday  8am-4pm,June 25-November 19,M,Y,Y,N,Y,40.84622,-73.93847,"(40.84622, -73.93847)"
Saratoga,Halfmoon Farmers' Market,2 Halfmoon Town Plaza,2 Halfmoon Town Plaza,Halfmoon,NY,12065,Ross MacNeil,5183717410,,Wednesday 3pm-7pm,June 17-September 30,M,Y,N,N,Y,42.85348,-73.72559,"(42.85348, -73.72559)"
Nassau,Rockville Centre Farmers' Market,"Sunrise Hwy & Longbeach Rd. , Village of Rockville Centre",Sunrise Hwy and Long Beach Rd,Rockville Centre,NY,11570,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Sunday  7am-12pm,June 7-November 29,M,Y,N,N,Y,40.65712,-73.6321,"(40.65712, -73.6321)"
Ulster,Saugerties Farmers' Market,115 Main St.,115 Main Street,Saugerties,NY,12477,Judith Spektor,8454191555,http://saugertiesfarmersmarket.com,Saturday  10am-2pm,May 23-October 31,P/M,Y,Y,N,Y,42.07901,-73.94894,"(42.07901, -73.94894)"
Tompkins,Ithaca Farmers' Market (Steamboat Sat),"Steamboat Landing, 545 Third St. Extension off Rt. 13",545 Third Street,Ithaca,NY,14850,Kelly Sauve,6072737109,http://www.ithacamarket.com,Saturday  9am-3pm,April 4-December 19,P/M/X,Y,N,N,Y,42.44958,-76.50785,"(42.44958, -76.50785)"
Kings,Bushwick Bethel Farm Stand,215 Cooper St. Brooklyn,215 Cooper St.,Brooklyn,NY,11207,Novelette Scott,7188210254,http://www.bushwickfarmersmarket.org,Thursday  10pm-3pm,May 23-November 21,P/M,Y,Y,N,Y,40.6898,-73.9056,"(40.6898, -73.9056)"
Erie,Eastgate Farmers' Market,4927-5089 Transit Road  Clarence,4927-5089 Transit Road,Clarence,NY,14221,Julie Fix-Minchen,7168789628,http://eastgatefarmersmarket.com,Wednesday  3pm-7pm,June 17-October 14,M,Y,N,N,Y,42.9861,-78.69691,"(42.9861, -78.69691)"
Monroe,Irondequoit Farmers' Market,Town Hall Lawn  1280 Titus Ave. Rochester,1280 Titus Ave,Rochester,NY,14617,Don Sinton,5853367060,http://www.irondequoit.org,Thursday  4pm-8pm,May 28-October 15,P/M,Y,Y,N,Y,43.21118,-77.58154,"(43.21118, -77.58154)"
Wayne,Henderberg Farms Farm Stand,3820 Hwy 414 Rose,3820 Hwy 414,Rose,NY,14542,Irene Henderberg,3155879062,,Daily 12pm-7pm,May 1-November 20,P/M,Y,N,N,Y,43.14429,-76.87492,"(43.14429, -76.87492)"
New York,Fort Washington Greenmarket,701 W 168th at Fort Washington Ave.,Fort Washington Ave and West 168th St,New York,NY,10032,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-4pm,June 2-November 24,M,Y,Y,N,Y,40.84217,-73.94229,"(40.84217, -73.94229)"
Schoharie,Parsons Vegetable Farm Farm Stand,756 US Highway 20 Sharon Springs,756 US Highway 20,Sharon Springs,NY,13459,Kenyon Parsons,5182842330,http://www.facebook.com/Parsons-Vegetable-Farm-458674077476065/,"Daily 10am-7pm, Nov/Dec 10a-4p",May 5-December 24,P/M,Y,N,N,Y,42.78332,-74.60004,"(42.78332, -74.60004)"
Kings,6th Ave. Sunset Park Greenmarket,602 44th St. at 6th Ave.,44th Street at 6th Avenue,Brooklyn,NY,11220,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.64711,-74.00463,"(40.64711, -74.00463)"
Ontario,Geneva Farmers' Market,Municipal parking lot Exchange St.,400 Exchange St,Geneva,NY,14456,David Sharman,3157895005,http://www.downtowngeneva.org/farmers-market.html,Wednesday 3pm-7pm,June 17-October 14,M,Y,N,N,Y,42.869,-76.98106,"(42.869, -76.98106)"
Fulton,Broadalbin Farmers' Market,3687 Highway 30 Broadalbin,3687 Highway 30,Broadalbin,NY,12025,Michael Tillson,5188829306,http://www.fmfma.org,Friday 3pm-6pm,June 26-September 4,M,Y,N,N,Y,43.04809,-74.2173,"(43.04809, -74.2173)"
Erie,MAP Mobile Market-Veterans One Stop,1280 Main St (floor 2) Buffalo,1280 Main St,Buffalo,NY,14209,Danielle Rovillo,7168825327,http://www.mass-ave.org,Friday 10am-11am,July 3-December 31,M/X,Y,Y,N,Y,42.90861,-78.86713,"(42.90861, -78.86713)"
Erie,Clinton Bailey Tues Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Tuesday 4am-6pm,May 2-October 31,P/M,Y,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Saratoga,Route 50 Green Market,802 Saratoga Rd. Burnt Hills,802 Saratoga Rd.,Burnt Hills,NY,12027,Carol Gumienny,5188858502,,Saturday  9am-1pm,June 1-October 3,M,Y,N,N,Y,42.90853,-73.89973,"(42.90853, -73.89973)"
Ontario,Outback Farm Farm Market,2135 County Rd. 8 Canandaigua,2135 County Rd 8,Canandaigua,NY,14424,Marlin & Leann Sensenig,7175870079,,"Mon-Fri 8am-8pm, Saturday 8am-4pm",April 20-November 30,P/M,Y,N,N,Y,42.92848,-77.30929,"(42.92848, -77.30929)"
Wayne,Wolcott Area Farmers' Market,Northup Park New Hartford St. Wolcott,Washington Street and New Hartford Street,Wolcott,NY,14590,David & Cindy Savary,3158790798,,Mon & Thu  1pm-5pm,June 22-October 15,M,Y,Y,N,Y,43.21855,-76.81491,"(43.21855, -76.81491)"
Westchester,Hartsdale Farmers' Market,"E. Hartsdale and Fenimore Rd, next to Train Station",East Hartsdale Ave and Fenimore Rd,Hartsdale,NY,10530,Nancy Chiocchi,9149499403,,Saturday  8am-4pm,June 1-November 21,M,Y,N,N,Y,41.01072,-73.79656,"(41.01072, -73.79656)"
Schenectady,Schenectady City Hall Farmers' Market,"105 Jay Street, City Hall",105 Jay Street,Schenectady,NY,12305,Steve Feeney,5183862225,http://www.schenectadycounty.com/farmersmarket,Thu  9:30am-1:30pm,May 7-October 29,P/M,Y,Y,N,Y,42.81378,-73.94032,"(42.81378, -73.94032)"
Jefferson,Watertown Saturday Farmers' Market,"Pavilion at J.B. Wise , 175 Black River Pkway",175 Black River Parkway,Watertown,NY,13601,Shawn Chamberlain,3154081088,http://www.facebook.com/Watertown-Saturday-Farmers-Market-106662177762/,Saturday  9am-2pm,May 30-October 31,M,Y,N,N,Y,43.97651,-75.90988,"(43.97651, -75.90988)"
Clinton,Shield's Vegetables Farm Stand,6303 State Route 22  Plattsburgh,6303 State Route 22,Plattsburgh,NY,12901,Sam Dyer,5185610473,http://www.facebook.com/shieldsvegetables/,Daily  10am-6pm,July 1-October 31,M,Y,Y,N,Y,44.73789,-73.47064,"(44.73789, -73.47064)"
Cattaraugus,Canticle Farm Market,3809 Old State Road Allegany,3809 Old State Road,Allegany,NY,14706,Mark Printz,7163789714,http://www.canticlefarm.org,"Tue/Fri  12pm-6pm, Dec-June: Tuesday only",June 16-November 24,M,Y,Y,N,Y,42.09601,-78.50618,"(42.09601, -78.50618)"
Erie,East Aurora Wednesday Farmers' Market,Aurora Village (TOPS) Plaza 123 Grey St.,123 Grey St,East Aurora,NY,14052,Gail Fenton,5853439491,http://www.facebook.com/EastAuroraFarmersMarket,Wednesday  7am-1pm,May 6-November 25,P/M,Y,N,N,Y,42.76593,-78.63413,"(42.76593, -78.63413)"
Tompkins,Mar-San Farm Stand,583 Sheldon Rd.  Freeville,583 Sheldon Rd.  Freeville,Freeville,NY,13068,Margaret Tracy,6073474617,http://www.facebook.com/Mar-San-Farm-Stand-133679867229528/,Mon/Wed/Thu  8am-6pm,Junly1-November 1,M,Y,N,N,Y,42.5272,-76.41507,"(42.5272, -76.41507)"
Wyoming,Farm & Artisan Market at the Villa,Artisan Villa  140 North Main St.  Warsaw,140 North Main Street,Warsaw,NY,14569,Lisa Seewaldt,5857868766,http://www.marketatthevilla.com,Wednesday  2pm-6pm,June 10-September 30,M,Y,N,N,Y,42.74311,-78.13256,"(42.74311, -78.13256)"
New York,Lower East Side  GrowNYC Farm Stand,Grand Ave. btwn Pitt & Willett Sts.,Grand St and Pitt St,New York,NY,10002,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Thursday  8am-3pm,July 16-November 20,M,Y,Y,N,Y,40.71523,-73.9843,"(40.71523, -73.9843)"
Schoharie,Schoharie Valley Farms Farm Stand,"""The Carrot Barn"", 5605 State Route 30",5605 State Route 30,Schoharie,NY,12157,Shirley Ball,5182957139,http://www.schoharievalleyfarms.com/,Daily 9am-6pm,March 1-December 24,W/P/M/X,Y,N,N,Y,42.68477,-74.29692,"(42.68477, -74.29692)"
Cortland,Cincinnatus Farmers' Market,"Cortland-Chenango Rural Services, 2704 Lower Cincinnatus Rd.",2704 Lower Cincinnatus Rd,Cincinnatus,NY,13040,Paul Halstead,6078368972,,Saturday  9am-12pm,May 30-October31,P/M,Y,N,N,Y,42.53812,-75.89662,"(42.53812, -75.89662)"
Herkimer,Juliano's Farm Market,2365 State Route 5 Utica,2365 State Route 5,Utica,NY,13502,Deborah E Juliano,3157230022,,"Mon-Sat 8am-6pm, Sunday 8am-4pm",April 23-October 31,P/M,Y,N,N,Y,43.09608,-75.14626,"(43.09608, -75.14626)"
Suffolk,Huntington Farmers' Market,"240 Main St Huntington, Elm St Parking Lot",228 Main St,Huntington,NY,11743,Lona Graepel,6319442661,,Sat 7:30am-12:30pm,June 13-Nov 21,M,Y,N,N,Y,40.87163,-73.42456,"(40.87163, -73.42456)"
Kings,Grand Army Plaza Greenmarket,Flatbush Ave. & Prospect Park West,Flatbush Ave and Grand Army Plaza,Brooklyn,NY,11238,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Saturday  8am-4pm,Year-round,YR,Y,Y,N,Y,40.67412,-73.9695,"(40.67412, -73.9695)"
