,Market Name,Address Line 1,City,Zip,Contact,State,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude
117,Elmwood Village Farmers' Market,Elmwood Ave and Bidwell Pkwy,Buffalo,14222.0,Ashley Smith,NY,7168810707,http://www.elmwoodmarket.org,Saturday  8am-1pm,May 9-November 28,P/M,Y,Y,N,Y,42.92371,-78.87702
118,Vestal Farmers' Market,320 Vestal Pkwy East,Vestal,13850.0,MaKenzie Darrow,NY,6072065742,http://www.facebook.com/VestalFarmersMarket,Sat/Wed  9am-1pm,May 23-November 25,P/M,Y,N,N,Y,42.087322,-76.04567800000001
119,Glens Falls WINTER Farmers' Market,10 Sanford Street,Glens Falls,12801.0,Richard Sandora,NY,5187920438,http://www.glensfallsfarmersmarket.com,Saturday  9am-12pm,"November 1-April 25,2020",M/X/W/P,N,Y,N,Y,43.3173,-73.65347
120,R & G Produce Farm Stand,997 NY Route 22,Brewster,10509.0,Mike Miller,NY,8459817200,,Saturday 8am-3pm,June 7-November 28,M,Y,N,N,Y,41.39785,-73.60218
121,City of Hudson WINTER Farmers' Market,601 Union St.,Hudson,12534.0,Marilyn Cederoth,NY,5189650552,http://www.hudsonfarmersmarketny.com,Saturday  10am-1pm,"Dec; February-April 25, 2020",X/W/P,N,N,N,Y,42.24738,-73.78535
122,Freeville Farmers Market,43 Main St.,Freeville,13068.0,Genevieve DeClerck,NY,6072295196,http://freevillefarmersmarket.org,Sunday 12pm-3pm,May 3-Sepember 20,P/M,Y,N,N,Y,42.511790000000005,-76.35084
123,Columbia Sun Greenmarket,Broadway and West 115th St,New York,10027.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Sunday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.8073,-73.9643
124,Russell Farms Farm Stand,2909 Old Vestal Rd,Vestal,13850.0,Allison Russell,NY,6079725793,http://www.russell-farm.com,Daily 8am-6pm,September 1-Nov 30,M,Y,N,N,Y,42.1009,-76.0078
125,Kubeckas Farm Stand,691 Chestnut Ridge Rd,Kirkville,13082.0,Karissa Atwood,NY,3156322739,,Mon-Sat 10am-5pm,June 13-October 31,M,Y,N,N,Y,43.112390000000005,-75.94782
126,Taste NY at WNY Welcome Center Farmers Market,1999 Alvin Rd,Grand Island,,Renee Day,NY,7169843040,,Thursday 4pm-7pm,June 25-September 3,M,N,N,N,Y,43.01578,-78.97151
127,Candor Farmers Market,101 Owego Rd,Candor,13743.0,Joellen Riggs,NY,6077684072,http://www.candorfarmersmarket.org/,Thu 3:30pm-6:30pm,June 25-September 3,M,Y,Y,N,Y,42.232490000000006,-76.33317
128,Lansing Farm Market,204 LishaKill,Niskayuna,12309.0,Al Or Jessica Lansing,NY,5184640889,http://www.lansingfarmmarket.com,Daily 9am-5pm,May 1-November 20,P/M,Y,N,N,Y,42.7629,-73.85446999999999
129,Project EATS St. Barnabas,4522 Third Ave.,Bronx,10457.0,Shevan Durant,NY,2126121528,http://www.projecteats.org,Wednesday 10am-7pm,August 8-November 11,M,Y,Y,N,Y,40.85495,-73.89033
130,Valley Stream Farmers' Market,123 W Merrick Rd,Valley Stream,11580.0,Ethel Terry,NY,6313233653,http://longislandgrowersmarket.com,Thursday 7am-1pm,July 9-November 19,M,Y,N,N,Y,40.66599,-73.70221
131,Curbside Market-Creek House Commons,3000 White Swan Dr,Rochester,14626.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Sat 3:45pm-5pm,July 11-December 19,M,Y,Y,N,Y,43.21894,-77.73798000000001
132,Mosher Farms Farm Stand,3214 Fargo Rd,Bouckville,13310.0,Terry Mosher,NY,3158937173,http://www.mosherfarms.com,"Mon-Sat 9am-6pm, Sunday 10am-6pm",June 10-October 31,M,Y,N,N,Y,42.87972,-75.57175
133,Harvest Home Metropolitan Farmers' Market,2nd Ave. at East 99th St.,New York,10029.0,Maritza Owens,NY,2128283361,http://www.harvesthomefm.org,Friday  8am-4pm,June 17-November 20,M,Y,Y,N,Y,40.78553,-73.94615
134,Broadway Farmers' Market,999 Broadway,Buffalo,14212.0,Kathleen Peterson,NY,7168930705,http://broadwaymarket.org/,Mon-Sat  8am-5pm,year-round,YR,N,Y,N,Y,42.893162,-78.83766700000001
135,Veggie Mobile-Steamboat Square Apts,20 Rensselaer Street,Albany,12202.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,YR,Y,Y,Y,Y,42.64093,-73.75363
136,Farm This Way Farm Stand,11086 Brant Reservation Road,Brant,14027.0,Carolyn Rosier,NY,7165491038,,Daily 9am-5pm,May 1-October 31,P/M,Y,N,N,Y,42.580290000000005,-79.01732
137,Hilltop Hanover Farm Farm Stand,1271 Hanover St,Yorktown heights,10598.0,Sophie Vranian,NY,9149622368,http://www.hilltophanoverfarm.org,"Friday  1pm-6pm, Sat  10am-4pm",April 24-November 24,P/M,Y,N,N,Y,41.25159,-73.7724
138,Patchogue (Sun) Farmers' Market,210 S. Ocean Ave.,Patchogue,11772.0,Ethel Terry,NY,6313233653,http://www.longislandgrowersmarket.com,Sunday  9am-2pm,June 6-November 14,M,Y,N,N,Y,40.76165,-73.01337
139,Cortland Saturday Farmers' Market,Main St and Orchard St,Cortland,13045.0,Laura Morak,NY,6077588332,,Saturday  8am-2pm,May 16-October 31,M,Y,Y,N,Y,42.60028,-76.18044
140,Morris Farmers' Market,Main St and Church St,Morris,13808.0,Paul Tourtellotte,NY,6072635423,,Thursday  3pm-5:30pm,May 28-October 15,P/M,Y,N,N,Y,42.54813,-75.24686
141,Capital Roots Produce Market,594 River Street,Troy,12180.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Mon-Fri  9am-4:30pm,Year-round,YR,Y,Y,Y,Y,42.74208,-73.68525
142,Cortland Tues Farmers Market,Main St and Orchard St,Cortland,13045.0,Laura Morak,NY,6077588332,,Tuesday 8am-2pm,May 19-October 27,M,Y,Y,N,Y,42.60028,-76.18044
143,Watertown Farm & Craft Market,317 Washington Street,Watertown,13601.0,Kylie Peck,NY,3157884400,http://www.watertownny.com,Wed 7am-3pm,May 27-October 7,P/M,Y,Y,N,Y,43.97173,-75.91116
144,Newburgh Farmers Market,95-107 Broadway,Newburgh,12550.0,Sember Weinman,NY,8452314424,http://www.facebook.com/newburghnyfarmersmarket,Saturday 10am-2pm,July 18-October 31,M,Y,Y,N,Y,41.49992,-74.0112
145,Clinton Bailey Thurs Farmers' Market,Bailey Ave and Clinton St,Buffalo,14206.0,Sharon Baldi,NY,7162080003,http://www.clintonbaileymarket.com,Thurday  4am-6pm,May 1-October 31,P/M,Y,Y,N,Y,42.87206,-78.81997
146,Gansevoort Farmers' Market,Main St. at Catherine St.,Gansevoort,12831.0,Linda Gifford,NY,5187920198,,Tuesday  3pm-6pm,June 16-October 27,M,Y,N,N,Y,43.19612,-73.65167
147,NYC Health+Hospitals Farmers' Market-Queens 1,82-68 164th St,Jamaica,11432.0,Sandra Springer,NY,7188832134,http://www.nychealthandhospitals.org,Thursday  8am-4pm,July 30-November 30,M,Y,N,N,Y,40.71753,-73.80373
148,175th Street Greenmarket,651 West 175th St and Broadway,New York,10038.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Thursday  8am-4pm,June 25-November 19,M,Y,Y,N,Y,40.84622,-73.93847
149,Halfmoon Farmers' Market,2 Halfmoon Town Plaza,Halfmoon,12065.0,Ross MacNeil,NY,5183717410,,Wednesday 3pm-7pm,June 17-September 30,M,Y,N,N,Y,42.85348,-73.72559
150,Rockville Centre Farmers' Market,Sunrise Hwy and Long Beach Rd,Rockville Centre,11570.0,Ethel Terry,NY,6313233653,http://www.longislandgrowersmarket.com,Sunday  7am-12pm,June 7-November 29,M,Y,N,N,Y,40.65712,-73.6321
151,Saugerties Farmers' Market,115 Main Street,Saugerties,12477.0,Judith Spektor,NY,8454191555,http://saugertiesfarmersmarket.com,Saturday  10am-2pm,May 23-October 31,P/M,Y,Y,N,Y,42.07901,-73.94894000000001
152,Ithaca Farmers' Market (Steamboat Sat),545 Third Street,Ithaca,14850.0,Kelly Sauve,NY,6072737109,http://www.ithacamarket.com,Saturday  9am-3pm,April 4-December 19,P/M/X,Y,N,N,Y,42.44958,-76.50785
153,Bushwick Bethel Farm Stand,215 Cooper St.,Brooklyn,11207.0,Novelette Scott,NY,7188210254,http://www.bushwickfarmersmarket.org,Thursday  10pm-3pm,May 23-November 21,P/M,Y,Y,N,Y,40.6898,-73.9056
154,Eastgate Farmers' Market,4927-5089 Transit Road,Clarence,14221.0,Julie Fix-Minchen,NY,7168789628,http://eastgatefarmersmarket.com,Wednesday  3pm-7pm,June 17-October 14,M,Y,N,N,Y,42.9861,-78.69691
155,Irondequoit Farmers' Market,1280 Titus Ave,Rochester,14617.0,Don Sinton,NY,5853367060,http://www.irondequoit.org,Thursday  4pm-8pm,May 28-October 15,P/M,Y,Y,N,Y,43.21118,-77.58154
156,Henderberg Farms Farm Stand,3820 Hwy 414,Rose,14542.0,Irene Henderberg,NY,3155879062,,Daily 12pm-7pm,May 1-November 20,P/M,Y,N,N,Y,43.144290000000005,-76.87491999999999
157,Fort Washington Greenmarket,Fort Washington Ave and West 168th St,New York,10032.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-4pm,June 2-November 24,M,Y,Y,N,Y,40.84217,-73.94229
158,Parsons Vegetable Farm Farm Stand,756 US Highway 20,Sharon Springs,13459.0,Kenyon Parsons,NY,5182842330,http://www.facebook.com/Parsons-Vegetable-Farm-458674077476065/,"Daily 10am-7pm, Nov/Dec 10a-4p",May 5-December 24,P/M,Y,N,N,Y,42.78332,-74.60004
159,6th Ave. Sunset Park Greenmarket,44th Street at 6th Avenue,Brooklyn,11220.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.64711,-74.00463
160,Geneva Farmers' Market,400 Exchange St,Geneva,14456.0,David Sharman,NY,3157895005,http://www.downtowngeneva.org/farmers-market.html,Wednesday 3pm-7pm,June 17-October 14,M,Y,N,N,Y,42.869,-76.98106
161,Broadalbin Farmers' Market,3687 Highway 30,Broadalbin,12025.0,Michael Tillson,NY,5188829306,http://www.fmfma.org,Friday 3pm-6pm,June 26-September 4,M,Y,N,N,Y,43.04809,-74.2173
162,MAP Mobile Market-Veterans One Stop,1280 Main St,Buffalo,14209.0,Danielle Rovillo,NY,7168825327,http://www.mass-ave.org,Friday 10am-11am,July 3-December 31,M/X,Y,Y,N,Y,42.908609999999996,-78.86713
163,Clinton Bailey Tues Farmers' Market,Bailey Ave and Clinton St,Buffalo,14206.0,Sharon Baldi,NY,7162080003,http://www.clintonbaileymarket.com,Tuesday 4am-6pm,May 2-October 31,P/M,Y,Y,N,Y,42.87206,-78.81997
164,Route 50 Green Market,802 Saratoga Rd.,Burnt Hills,12027.0,Carol Gumienny,NY,5188858502,,Saturday  9am-1pm,June 1-October 3,M,Y,N,N,Y,42.90853,-73.89973
165,Outback Farm Farm Market,2135 County Rd 8,Canandaigua,14424.0,Marlin & Leann Sensenig,NY,7175870079,,"Mon-Fri 8am-8pm, Saturday 8am-4pm",April 20-November 30,P/M,Y,N,N,Y,42.92848,-77.30929
166,Wolcott Area Farmers' Market,Washington Street and New Hartford Street,Wolcott,14590.0,David & Cindy Savary,NY,3158790798,,Mon & Thu  1pm-5pm,June 22-October 15,M,Y,Y,N,Y,43.21855,-76.81491
167,Hartsdale Farmers' Market,East Hartsdale Ave and Fenimore Rd,Hartsdale,10530.0,Nancy Chiocchi,NY,9149499403,,Saturday  8am-4pm,June 1-November 21,M,Y,N,N,Y,41.01072,-73.79656
168,Schenectady City Hall Farmers' Market,105 Jay Street,Schenectady,12305.0,Steve Feeney,NY,5183862225,http://www.schenectadycounty.com/farmersmarket,Thu  9:30am-1:30pm,May 7-October 29,P/M,Y,Y,N,Y,42.81378,-73.94032
169,Watertown Saturday Farmers' Market,175 Black River Parkway,Watertown,13601.0,Shawn Chamberlain,NY,3154081088,http://www.facebook.com/Watertown-Saturday-Farmers-Market-106662177762/,Saturday  9am-2pm,May 30-October 31,M,Y,N,N,Y,43.97651,-75.90988
170,Shield's Vegetables Farm Stand,6303 State Route 22,Plattsburgh,12901.0,Sam Dyer,NY,5185610473,http://www.facebook.com/shieldsvegetables/,Daily  10am-6pm,July 1-October 31,M,Y,Y,N,Y,44.73789,-73.47064
171,Canticle Farm Market,3809 Old State Road,Allegany,14706.0,Mark Printz,NY,7163789714,http://www.canticlefarm.org,"Tue/Fri  12pm-6pm, Dec-June: Tuesday only",June 16-November 24,M,Y,Y,N,Y,42.09601,-78.50618
172,East Aurora Wednesday Farmers' Market,123 Grey St,East Aurora,14052.0,Gail Fenton,NY,5853439491,http://www.facebook.com/EastAuroraFarmersMarket,Wednesday  7am-1pm,May 6-November 25,P/M,Y,N,N,Y,42.76593,-78.63413
173,Mar-San Farm Stand,583 Sheldon Rd.  Freeville,Freeville,13068.0,Margaret Tracy,NY,6073474617,http://www.facebook.com/Mar-San-Farm-Stand-133679867229528/,Mon/Wed/Thu  8am-6pm,Junly1-November 1,M,Y,N,N,Y,42.5272,-76.41507
174,Farm & Artisan Market at the Villa,140 North Main Street,Warsaw,14569.0,Lisa Seewaldt,NY,5857868766,http://www.marketatthevilla.com,Wednesday  2pm-6pm,June 10-September 30,M,Y,N,N,Y,42.743109999999994,-78.13256
175,Lower East Side  GrowNYC Farm Stand,Grand St and Pitt St,New York,10002.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org/farmstands,Thursday  8am-3pm,July 16-November 20,M,Y,Y,N,Y,40.71523,-73.9843
176,Schoharie Valley Farms Farm Stand,5605 State Route 30,Schoharie,12157.0,Shirley Ball,NY,5182957139,http://www.schoharievalleyfarms.com/,Daily 9am-6pm,March 1-December 24,W/P/M/X,Y,N,N,Y,42.68477,-74.29692
177,Cincinnatus Farmers' Market,2704 Lower Cincinnatus Rd,Cincinnatus,13040.0,Paul Halstead,NY,6078368972,,Saturday  9am-12pm,May 30-October31,P/M,Y,N,N,Y,42.53812,-75.89662
178,Juliano's Farm Market,2365 State Route 5,Utica,13502.0,Deborah E Juliano,NY,3157230022,,"Mon-Sat 8am-6pm, Sunday 8am-4pm",April 23-October 31,P/M,Y,N,N,Y,43.09608,-75.14626
179,Huntington Farmers' Market,228 Main St,Huntington,11743.0,Lona Graepel,NY,6319442661,,Sat 7:30am-12:30pm,June 13-Nov 21,M,Y,N,N,Y,40.871629999999996,-73.42456
180,Grand Army Plaza Greenmarket,Flatbush Ave and Grand Army Plaza,Brooklyn,11238.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Saturday  8am-4pm,Year-round,YR,Y,Y,N,Y,40.67412,-73.9695
181,Kwilos Farm Farm Stand,7678 Erie Rd.,Derby,14074.0,Joseph Kwilos,NY,7165496201,,"Mon-Sat  10am-6pm, Sunday  10am-4pm",May 8-October 31,P/M,Y,N,N,Y,42.67729,-79.02178
182,B30 Farm Farm Stand,676 Baldwin Road,Fulton,13069.0,Timothy F. Moshier,NY,3154399991,,Monday 1pm-6pm,Year-round,YR,Y,N,N,Y,43.38285,-76.34859
183,Bath Wednesday Farmers' Market,Steuben St and Liberty St,Bath,14810.0,Hazel Buck,NY,6077943494,http://www.facebook.com/bathnyfarmersmarket/,Wednesday  9am-2pm,May 6-October 28,P/M,Y,Y,N,Y,42.333529999999996,-77.31841999999999
184,Union Square Monday Greenmarket,Broadway and East 17th St,New York,10003.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org/greenmarket/manhattan-union-square-w,Monday  8am-6pm,Year-round,YR,Y,Y,N,Y,40.737120000000004,-73.99029
185,Curbside Market-Kennedy Towers,666 South Plymouth Ave,Rochester,14608.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Mon 3:30pm-4:45pm,July 6-December 14,M/X,Y,Y,N,Y,43.142509999999994,-77.61894000000001
186,Stoltzfus Farm Stand,1842 State Route 96A,Ovid,14521.0,Reuben Stoltzfus,NY,6078694847,,"Mon-Fri 8am-7pm, Saturday 8am-5pm",May 1-October 31,M,Y,N,N,Y,43.781890000000004,-75.47601
187,Montauk Farmers' Market,742 Montauk Hwy,Montauk,11954.0,Laraine Creegan,NY,6316682355,http://www.facebook.com/montaukfarmersmarket,Thur 9am-2pm,June 11-September 10,M,Y,N,N,Y,41.03436,-71.94424000000001
188,Hudson Valley Farmers Market,227 Pitcher Lane,Red Hook,12571.0,Norman Greig,NY,9144742404,,Saturday 9am-3pm,Year-round,YR,Y,N,N,Y,42.02825,-73.8549
189,Broome Co Regional Sat Farmers' Market,840 Upper Front St.,Binghamton,13905.0,Amy Willis,NY,6077728953,http://www.broomecountyregionalmarket.com,Saturday  9am-1pm,Year-round,YR,Y,Y,Y,Y,42.12921,-75.90609
190,Norwich WINTER Farmers' Market,20 Conkey Avenue,Norwich,13815.0,Drew Piaschyk,NY,6073344928,https://www.facebook.com/NorwichNYFarmersMarket,Wednesday  10am-2pm,December 2-April 28 2021,X/W/P,N,Y,N,Y,42.5272,-75.52481999999999
191,Downtown Buffalo Country Thursday Market,350 Main St. outside btwn Court & Church Streets,Buffalo,14203.0,Taylor Potenza,NY,7168563150,https://buffaloplace.com/play/our-events/#countrymarket,Thu  10am-2:30pm,May 14-October 22,P/M,Y,Y,N,Y,42.8844,-78.8754
192,New Lebanon WINTER Farmers Market,route 20 &22 New Lebanon,New Lebanon,12125.0,Chelsea Vigue,NY,5083173502,https://www.facebook.com/newlebanonfarmersmarket/,every 3rd Sunday 10am-2pm,November 17-May 17,M/X/W/P,N,Y,N,Y,42.464209999999994,-73.39698
193,Veggie Mobile-Renwyck Place,18 4th Ave,Rensselaer,12144.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Thu 11:30am-12pm,Year-round,YR,Y,Y,Y,Y,42.63925,-73.73935999999999
194,NYC Health+Hospitals Farmers' Market-Queens 2,114-02 Guy R Brewer Blvd,Queens,11434.0,Sherly Thomas,NY,7188832134,http://www.nychealthandhospitals.org/queens,Tuesday  8am-4pm,July 21-November 23,M,Y,N,N,Y,40.68851,-73.78588
195,Harvest Home Harlem Hospital Farmers' Market,137th Street and Lennox Avenue,New York,10037.0,Maritza Owens,NY,2128283361,http://www.harvesthomefm.org,Friday  8am-6pm,June 5-November 20,M,Y,Y,N,Y,40.81539,-73.93985
196,Anna House Farm Stand at Belmont Park,2150 Hempstead Turnpike,Elmont,11003.0,Eleanor Poppe,NY,5164285267,http://www.rtcany.org,Tuesday  11am-2pm,July 2-October 27,M,Y,N,N,Y,40.70922,-73.7216
197,Covered Bridge Farm Market,309 Covered Bridge Rd,Unadilla,13849.0,Erin Johnson,NY,9147992078,,Daily 10am-6pm,July 10-October 31,M,Y,N,N,Y,42.33657,-75.28612
198,Curbside Market-Plymouth Gardens,1400 S Plymouth Ave.,Rochester,14611.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Fri 11:30am-1pm,July 10-December 18,M/X,Y,Y,N,Y,43.13192,-77.6339
199,Baltimore Woods WINTER Farmers' Market,4007 Bishop Hill Road,Marcellus,13108.0,Sue Jones,NY,3156731350,https://www.facebook.com/winterfarmersmarketatbaltimorewoods/,2nd Saturday  10am-1pm,November-April,M/X/W/P,N,N,N,Y,42.964884999999995,-76.34460899999999
200,Carthage Farmers' Market,150 Riverside Drive,Carthage,13619.0,Jeanette Turner,NY,3154933590,http://www.carthageny.com,Friday  7am-2pm,May 29-October 9,P/M,Y,N,N,Y,43.977140000000006,-75.61247
201,Poe Park Greenmarket,2580 Grand Concourse,Bronx,10458.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org/,Tuesday  8am-3pm,June 30-November 24,M,Y,Y,N,Y,40.86412,-73.8955
202,Forest Hills Greenmarket,106-28 Queens Blvd.,Queens,11375.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket/queens/forest-hills,Sunday  8am-2pm,Year-Round,YR,Y,Y,N,Y,40.72193,-73.84676
203,Sullivan Fresh Market on the Move-S.Fallsburg,19 Railroad Plaza,South Fallsburg,12779.0,Michelle Proscia,NY,8452926180,http://www.sullivancce.org,Thursday 2:30pm-4:30pm,July 2-October 1,M,Y,Y,N,Y,41.70828,-74.6297
204,Queens County Farm-Jamaica Hospital Farm Stand,134-20 Jamaica Avenue,Richmond Hill,11418.0,Anne Mastrogiacomo,NY,7183473276,http://www.queensfarm.org,Friday 10:30am-3:30pm,July 10-November 6,M,Y,N,N,Y,40.70134,-73.81631
205,Glens Falls Farmers' Market,25 South Street,Glens Falls,12801.0,Richard Sandora,NY,5187920438,http://www.gffma.com,Saturday  8am-12pm,May 2-October 31,P/M,Y,Y,Y,Y,43.3099,-73.64699
206,Dunkirk Farmers' Market,45 Cliffstar Court,Dunkirk,14048.0,Edward Hayes,NY,7163669876,http://www.dunkirktoday.com,Wednesday  9am-2pm,June 10-October 14,M,Y,Y,N,Y,42.484809999999996,-79.32751
207,Lincoln Hospital Tue Greenmarket,East 149th St and Morris Ave,Bronx,10451.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-3pm,June 30-November 24,M,Y,Y,N,Y,40.81739,-73.92274
208,Brooklyn Borough Hall Saturday Greenmarket,Court St and Montague St,Brooklyn,11201.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Saturday 8am-4pm,Year-round,YR,Y,Y,N,Y,40.693740000000005,-73.99043
209,Veggie Mobile-Hometown Health Ctr,1044 State Street,Schenectady,12307.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Mon 2pm-2:45pm,Year-round,YR,Y,Y,Y,Y,42.8014,-73.9278
210,Oneonta WINTER Farmers' Market,196 Main Street,Oneonta,13820.0,Betty Lee,NY,6072671807,http://www.oneontafarmersmarket.com,Saturday  9am-12pm,Nov 2-April 25,X/W/P,N,N,N,Y,42.45397,-75.06188
211,Central NY Sunday Regional Market Authority,2100 Park Street,Syracuse,13208.0,Amanda Vitale,NY,3154228647,http://www.cnyrma.com,Sunday  7am-2pm,Year-round,YR,Y,Y,Y,Y,43.07269,-76.16835
212,JCEO MM-Westville Corners,Rte 37 & 122,Westville,12926.0,Richard LaVigne,NY,5183194028,http://www.jceo.org,Tue 10am-12pm,June 9-October 13,M,Y,Y,N,Y,44.94404,-74.39536
213,West Point/Town of Highlands Farmers' Market,Main St and Cozzens Ave,Highlands,10928.0,Joanne Devereaux,NY,8454462459,http://www.facebook.com/WPTOHfarmersmarket/,Sunday  9am-2pm,June 14-October 28,M,Y,N,N,Y,41.3723,-73.96434
214,The Napolitano Family Farm Stand,3434 Hempstead Turnpike,Levittown,11756.0,Daniel Napolitano,NY,6462834682,http://www.napolitanofamilyfarm.com,Saturday 10am-2pm,June 13-September 26,M,Y,N,N,Y,40.725559999999994,-73.50916
215,Saratoga Farm Stand,1965 Fulton Street,Brooklyn,11233.0,Melony Samuels,NY,7187733551,https://www.tcahnyc.org/,Saturday  9am-2pm,July 6-November 21,M,Y,Y,N,Y,40.678490000000004,-73.9162
216,Pires Farmers' Market,6066 State Highway 12,Norwich,13815.0,Richard Williams,NY,6073342676,,"Mon-Sat  9am-5pm, Sunday  9am-4pm",May 1-November 30,P/M,Y,Y,N,Y,42.54525,-75.52498
217,Richfield Springs Area Thurs Farmers' Market,Main St and Church St,Richfield Springs,13439.0,Ronald Bayzon,NY,3158582703,,Thursday  2pm-6pm,June 25-October 29,M,Y,N,N,Y,42.85341,-74.98506
218,Poverty Acres Farm Stand,129 Hop City Rd.,Ballston Spa,12020.0,Gaynell Bliss,NY,5189353341,,Daily 10am-5pm,July 15-October 15,M,N,N,N,Y,42.95105,-73.91653000000001
219,Yates County Co-op Farm & Craft Market,Main St and Elm St,Penn Yan,14527.0,Rivka Davis,NY,6072435234,http://www.facebook.com/PennYan.Farmers.Market,Saturday  8am-12pm,May 30-September 5,P/M,Y,N,N,Y,42.66095,-77.05365
220,South Buffalo Farmers' Market,"Cazenovia Casino, Cazenovia Park",Buffalo,14220.0,Peggy Shea,NY,7168515169,https://www.facebook.com/SouthBuffaloMarket,Sunday  9am-1pm,June 7-September 27,M,N,N,N,Y,42.847895,-78.80578100000001
221,Peekskill WINTER Farmers' Market,828 Main St,Peekskill,10566.0,Corinna Makris,NY,9144184920,http://www.peekskillfarmersmarket.com,Saturday  10am-2pm,December 7-April 24,X/W/P,N,N,N,Y,41.29141,-73.9231
222,JCEO MM-Methodist Church,3909 NY 374,Lyons Mt.,12952.0,Richard LaVigne,NY,5183194028,http://www.jceo.org,Friday 10am-12 noon,June 12-October 16,M,Y,Y,N,Y,44.73223,-73.91025
223,Hattie Carthan After Church Farmers' Market,49 Van Buren St,Brooklyn,11221.0,David Greaves,NY,2125617327,http://www.hattiecarthancommunitymarket.com,Sunday  1pm-6pm,August 4-November 24,M,Y,N,N,Y,40.69024,-73.94359
224,Flanders Farm Fresh Food Market,655 Flanders Rd,Flanders,11901.0,Nancy Lynott,NY,6317022417,http://www.southamptontownny.gov,Saturday  10am-1pm,July 4-October 17,M,Y,Y,N,Y,40.90952,-72.63662
225,Salisbury Farmers' Market,126 State Route 29A,Salisbury Center,13329.0,Gina Thompson,NY,3154299102,http://www.facebook.com/salisburyfarmersmarket13454/,Friday  9am-1pm,May 22-October 9,P/M,Y,N,N,Y,43.14304,-74.78544000000001
226,The Farmer's Wagon Farm Stand,Grooms Road & Moe Road,Clifton Park,12065.0,Kevin Bowman,NY,5183712042,,Daily 9am-5pm,May 1-October 31,P/M,Y,N,N,Y,42.840340000000005,-73.79385
227,Jamestown Public Market,Cherry and West 2nd St,Jamestown,14701.0,Linnea Carlson,NY,7164836405,http://www.jamestownrenaissance.org,Saturday  10am-2pm,June 6-October 31,M,Y,Y,N,Y,42.09567,-79.24234
228,Village of Hamilton Farmers' Market,Broad St and Payne St,Hamilton,13346.0,Kim Taranto,NY,3158241111,http://www.hamilton-ny.gov,Saturday  8am-1pm,May 9-October 31,P/M,Y,N,N,Y,42.826840000000004,-75.54436
229,Curbside Market-Heritage Gardens,950 Commons Way,Rochester,14623.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Mon 5pm-6pm,July 6-December 14,M/X,Y,Y,N,Y,43.08327,-77.60406
230,Veggie Mobile Sprout-Public Library Sr. Ctr,1501 Broadway,Watervliet,12189.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Thu 2pm-2:45pm,Year-round,YR,Y,Y,Y,Y,42.726290000000006,-73.70008
231,Navarras Farm Market and Greenhouses,3272 Eagle Harbor Road,Albion,14411.0,Amanda Mrzyuka,NY,5855894674,,"Mon-Sat 9am-8pm, Sunday 9am-5pm",Year-Round,YR,N,N,N,Y,43.189409999999995,-78.25421999999999
232,92nd Street Greenmarket,East 92nd St and First Ave,New York,10128.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Sunday  9am-4pm,June 21-November 22,M,Y,Y,N,Y,40.78071,-73.94658000000001
233,Dobbs Ferry Farm Stand,Cedar St and Main St,Dobbs Ferry,10522.0,Nancy Chiocchi,NY,9149499403,,Friday  10am-4pm,June 7-November 22,M,Y,N,N,Y,41.01628,-73.87365
234,McGolrick Park Farmers' Market,130 Russell Street,Brooklyn,11222.0,Miriam Haas,NY,9149234837,http://www.downtoearthmarkets.com,Sunday  10am-3pm,May17-December 20,P/M/X,Y,Y,N,Y,40.72483,-73.94431999999999
